"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","99.1536560058594","99.1971282958984","99.2399139404297","100","100","100","100","100","100","91.660400390625","100","100","100","100","100","100","100","100","100","93.3562927246094","100","100","100","100","100","100","100","100","100","100","",
"Africa Eastern and Southern","AFE","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.9579298951035","19.9862203237456","21.6015034178654","22.5483066365335","23.8158804627515","23.4811562468684","24.7499128916126","26.7515912769659","25.913958456892","26.1513599969695","27.4827342843522","28.9486279353382","31.6823177047106","31.6106918811145","31.8249495513156","33.7444046301052","38.7333520303803","40.0921632933888","42.8809766258104","44.0739121045303","45.6096042884373","",
"Afghanistan","AFG","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.61359095573425","4.07457399368286","9.40915775299072","14.7385063171387","20.0649681091309","25.3908939361572","30.7186908721924","36.0510101318359","42.4000015258789","46.7400512695313","42.7000007629395","43.2220191955566","69.0999984741211","68.2906494140625","89.5","71.5","97.6999969482422","97.6999969482422","96.6161346435547","97.6999969482422","97.6999969482422","",
"Africa Western and Central","AFW","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.5751303452682","32.6096921963953","33.6056679748691","32.6293222407454","32.461796679118","33.4586299235774","34.8104284660219","34.1021600351171","35.2168999013354","35.7345866904767","39.8462815355357","37.538874739029","37.8330947671863","39.8432523556858","40.7895378632418","41.7510756439831","41.8139127355949","41.7998447498756","45.8963467248752","44.1374096192427","47.0293347661991","47.587145249403","46.7509457807016","50.9313988603765","48.8350622135254","51.2385175424249","51.2602195725714","52.0820528281592","",
"Angola","AGO","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.2127437591553","20","26.3521175384521","27.4127769470215","28.4705505371094","29.5277862548828","30.5868949890137","37.5","38.4900016784668","33.802188873291","34.895637512207","34.5999984741211","37.1313209533691","38.2780303955078","32","42","41.8131294250488","43.0132598876953","45.2900009155273","45.6427993774414","46.8906097412109","",
"Albania","ALB","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","99.9000015258789","100","99.9499969482422","99.9800033569336","99.8899993896484","99.8899993896484","100","100","100","",
"Andorra","AND","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Arab World","ARB","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.9643258346782","77.6235206960993","78.5214088297258","79.1123196438608","81.121777566806","81.9465843239392","81.9250773003536","82.9121357451822","82.8841937281191","83.6107259153805","85.8164649345222","84.1222350199364","83.7960814380495","84.6641603144405","87.3751069197478","87.6000013937688","87.2875085854602","89.2967255803414","88.2820601431627","88.8911296243003","89.3542220760166","90.4460099173841","88.9162428638274","90.0075969383761","90.2343895506216","",
"United Arab Emirates","ARE","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Argentina","ARG","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.1548004150391","92.4921875","92.8294525146484","93.1660461425781","93.5012741088867","93.8344650268555","94.1649398803711","94.4920120239258","94.8150024414063","95.1331558227539","95.7832870483398","95.5110626220703","96.2288665771484","96.4426345825195","96.6535034179688","96.8638458251953","97.076057434082","97.2927932739258","97.5167541503906","97.7506561279297","98.8199996948242","99.0953521728516","99.22998046875","99.3426742553711","100","99.6253890991211","99.8495788574219","100","99.9895782470703","100","100","",
"Armenia","ARM","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.9000015258789","100","98","99.1901321411133","99.1892318725586","99.8000030517578","99.188232421875","99.1931838989258","99.2053756713867","99.2275009155273","99.8000030517578","99.6057968139648","99.6289672851563","99.4199981689453","99.7099990844727","100","99.8000030517578","99.6999969482422","99.9000015258789","100","100","",
"American Samoa","ASM","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.7630462646484","95.9406509399414","96.1181335449219","96.2949447631836","96.4703903198242","96.643798828125","96.8144836425781","96.9817733764648","97.1449813842773","97.303352355957","97.6892623901367","97.7852554321289","100","97.9568252563477","98.0371017456055","92.1999969482422","100","100","100","98.4812774658203","98.5972366333008","94.5520172119141","100","100","100","100","100","100","100","100","100","",
"Australia","AUS","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Austria","AUT","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Azerbaijan","AZE","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97","98.9082260131836","98.6218032836914","100","98.9274673461914","99.0747985839844","99.2215957641602","99.5","99.5234527587891","99.6838684082031","99.8542251586914","99.9437942504883","99.9000015258789","100","100","100","100","100","100","100","100","100","",
"Burundi","BDI","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.9","2.07094931602478","2.46323680877686","2.79742002487183","3.12401843070984","3.44538164138794","3.76385879516602","3.20731711387634","2.66000008583069","4.7259464263916","4.80000019073486","5.39901685714722","5.30000019073486","6.12268400192261","6.5","6.90000009536743","7","8.42765235900879","9.34840965270996","9.30000019073486","10.8849086761475","11.3565282821655","11.7355556488037","",
"Belgium","BEL","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Benin","BEN","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.5","18.5896263122559","19.578254699707","20.5620422363281","21.5310840606689","21.8999996185303","23.4159278869629","24.3493232727051","25.2798328399658","26.2098045349121","27.8999996185303","28.0780162811279","29.021614074707","29.9751510620117","34.2000007629395","36.9000015258789","38.4000015258789","34.691219329834","34.0999984741211","29.6200008392334","37.0952453613281","34.5","39.2469177246094","40.3286895751953","41.4109573364258","",
"Burkina Faso","BFA","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.1","6.12501001358032","6.62533283233643","7.1229362487793","7.61713981628418","8.10726451873779","6.9","9.07501983642578","9.52135181427002","9.96009922027588","11.3999996185303","10.8242387771606","11.2543277740479","11.6862897872925","12.1227731704712","12.5664882659912","12.6300001144409","13.1000003814697","14.8084144592285","15.1179943084717","15.4056425094604","19.2000007629395","16.0769748687744","16.641056060791","17.2140426635742","14.3999996185303","18.3748550415039","18.957239151001","",
"Bangladesh","BGD","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.29","9.90541934967041","12.7178802490234","17.8","18.3380451202393","21.1443862915039","22.4","26.7461929321289","29.5402145385742","32","35.0326461791992","37.8510704040527","40.6642608642578","40.5999984741211","44.2299995422363","50.5251007080078","46.5","54.7355155944824","57.56884765625","55.2599983215332","59.5999984741211","66.1555709838867","61.5","62.4000015258789","74.9037399291992","75.9199981689453","88","91.8000030517578","92.1999969482422","96.1999969482422","",
